,player_name,total_wins,aces,breakpoints_won,total_breakpoints,double_faults,first_serve_points_won,first_serve_successful,second_serve_points_won,second_serve_successful,points_spread,FS Win %,SS Win %,BP Conv %,Ace Rank,DF Rank,Total Win Rank,Point Spread Rank,FS Win Rank,SS Win Rank,BP Rank,Mean Ranks,Mean Ranks Ranked,Month,last_refreshed
3588,"Wang, Xinyu",3,10.0,20.0,61.0,22.0,145.0,224.0,56.0,110.0,15.0,0.6473214285714286,0.509090909090909,0.3278688524590163,1158.0,3280.5,797.0,894.0,1198.0,2019.5,3157.0,1786.2857142857142,1669.0,February 2026,2026-07-02
3618,"Watson, Heather",2,3.0,10.0,19.0,23.0,89.0,126.0,36.0,70.0,6.0,0.7063492063492064,0.5142857142857142,0.5263157894736842,2388.5,3336.0,1270.5,1209.0,315.0,1936.5,967.5,1631.857142857143,1328.0,February 2026,2026-07-02
3648,"Williams, Venus",0,2.0,2.0,8.0,3.0,31.0,68.0,0.0,0.0,-20.0,0.4558823529411764,,0.25,2709.0,661.0,3127.0,2953.0,3612.0,,3409.0,2745.1666666666665,3568.0,February 2026,2026-07-02
3677,"Yashina, Ekaterina",0,1.0,1.0,5.0,4.0,21.0,33.0,10.0,23.0,-17.0,0.6363636363636364,0.4347826086956521,0.2,3086.0,923.0,3127.0,2707.0,1416.0,3129.5,3519.0,2558.214285714286,3285.0,February 2026,2026-07-02
3686,"Yastremska, Dayana",2,8.0,17.0,30.0,26.0,123.0,232.0,72.0,130.0,-60.0,0.5301724137931034,0.5538461538461539,0.5666666666666667,1414.0,3479.0,1270.5,3817.5,3191.0,1180.0,670.5,2146.0714285714284,2436.0,February 2026,2026-07-02
3700,"You, Xiaodi",0,3.0,2.0,7.0,2.0,8.0,15.0,5.0,13.0,2.0,0.5333333333333333,0.3846153846153846,0.2857142857142857,2388.5,408.0,3127.0,1386.0,3162.0,3446.5,3294.5,2458.928571428572,3105.5,February 2026,2026-07-02
3708,"Yuan, Yue",5,28.0,39.0,85.0,7.0,223.0,340.0,101.0,209.0,50.0,0.6558823529411765,0.4832535885167464,0.4588235294117647,247.0,1614.0,287.0,266.0,1031.0,2500.0,1744.0,1098.428571428571,292.0,February 2026,2026-07-02
3724,"Zakharova, Anastasia",6,17.0,48.0,108.0,34.0,395.0,635.0,103.0,194.0,41.0,0.6220472440944882,0.5309278350515464,0.4444444444444444,633.0,3678.5,156.0,365.0,1726.5,1604.0,1920.5,1440.5,899.0,February 2026,2026-07-02
3740,"Zarazua, Renata",0,1.0,7.0,22.0,5.0,74.0,153.0,22.0,43.0,-58.0,0.4836601307189542,0.5116279069767442,0.3181818181818182,3086.0,1176.5,3127.0,3810.5,3514.0,1986.0,3186.5,2840.928571428572,3679.5,February 2026,2026-07-02
3761,"Zhang, Shuai",5,7.0,32.0,69.0,16.0,179.0,330.0,61.0,89.0,73.0,0.5424242424242425,0.6853932584269663,0.463768115942029,1559.5,2860.5,287.0,114.5,3053.0,92.5,1696.5,1380.5,784.5,February 2026,2026-07-02
3788,"Zheng, Qinwen",2,34.0,9.0,17.0,16.0,135.0,186.0,53.0,94.0,19.0,0.7258064516129032,0.5638297872340425,0.5294117647058824,163.5,2860.5,1270.5,781.0,189.0,999.5,944.5,1029.7857142857142,203.0,February 2026,2026-07-02
3818,"Zidansek, Tamara",1,1.0,8.0,15.0,2.0,58.0,105.0,26.0,59.0,-33.0,0.5523809523809524,0.4406779661016949,0.5333333333333333,3086.0,408.0,1982.0,3560.0,2923.0,3068.0,914.0,2277.285714285714,2744.0,February 2026,2026-07-02
3832,"Zvonareva, Vera",3,12.0,15.0,36.0,15.0,171.0,238.0,57.0,112.0,19.0,0.7184873949579832,0.5089285714285714,0.4166666666666667,978.5,2755.0,797.0,781.0,228.0,2025.0,2265.5,1404.2857142857142,827.0,February 2026,2026-07-02
